pop,cod_ibg,ano,state
6495,110003,2013,11
6268,110060,2013,11
85863,110004,2013,11
13939,110070,2013,11
22973,110080,2013,11
3689,110090,2013,11
18041,110005,2013,11
9636,110092,2013,11
19190,110006,2013,11
9036,110007,2013,11
15853,110008,2013,11
19410,110094,2013,11
31699,110009,2013,11
10534,110100,2013,11
45761,110010,2013,11
9661,110110,2013,11
55597,110011,2013,11
128026,110012,2013,11
35633,110013,2013,11
10899,110120,2013,11
12469,110130,2013,11
15541,110140,2013,11
21427,110014,2013,11
26227,110033,2013,11
7883,110143,2013,11
10515,110050,2013,11
40099,110015,2013,11
5477,110145,2013,11
36939,110018,2013,11
2440,110146,2013,11
484992,110020,2013,11
23017,110025,2013,11
3597,110147,2013,11
3666,110026,2013,11
55357,110028,2013,11
8887,110029,2013,11
6219,110148,2013,11
18265,110149,2013,11
23668,110032,2013,11
12505,110150,2013,11
5080,110155,2013,11
11343,110160,2013,11
13491,110170,2013,11
10518,110175,2013,11
8425,110180,2013,11
87727,110030,2013,11
25652,110001,2014,11
13884,110037,2014,11
19841,110040,2014,11
17228,110034,2014,11
102860,110002,2014,11
37207,110045,2014,11
6424,110003,2014,11
6318,110060,2014,11
86556,110004,2014,11
14081,110070,2014,11
23573,110080,2014,11
3653,110090,2014,11
18013,110005,2014,11
9887,110092,2014,11
19001,110006,2014,11
8938,110007,2014,11
16258,110008,2014,11
20204,110094,2014,11
32047,110009,2014,11
10327,110100,2014,11
46203,110010,2014,11
9831,110110,2014,11
55669,110011,2014,11
129242,110012,2014,11
36412,110013,2014,11
10860,110120,2014,11
12414,110130,2014,11
15710,110140,2014,11
21511,110014,2014,11
26925,110033,2014,11
7853,110143,2014,11
10393,110050,2014,11
40010,110015,2014,11
5589,110145,2014,11
37230,110018,2014,11
2432,110146,2014,11
494013,110020,2014,11
22783,110025,2014,11
3548,110147,2014,11
3709,110026,2014,11
55807,110028,2014,11
8706,110029,2014,11
6160,110148,2014,11
18640,110149,2014,11
23803,110032,2014,11
12543,110150,2014,11
5041,110155,2014,11
11345,110160,2014,11
13391,110170,2014,11
10682,110175,2014,11
8327,110180,2014,11
89797,110030,2014,11
25578,110001,2015,11
13940,110037,2015,11
20210,110040,2015,11
17063,110034,2015,11
104401,110002,2015,11
37838,110045,2015,11
6355,110003,2015,11
6367,110060,2015,11
87226,110004,2015,11
14220,110070,2015,11
24155,110080,2015,11
3617,110090,2015,11
17986,110005,2015,11
10129,110092,2015,11
18817,110006,2015,11
8842,110007,2015,11
16651,110008,2015,11
20974,110094,2015,11
32385,110009,2015,11
10127,110100,2015,11
46632,110010,2015,11
9995,110110,2015,11
55738,110011,2015,11
130419,110012,2015,11
37167,110013,2015,11
10823,110120,2015,11
12360,110130,2015,11
15873,110140,2015,11
21592,110014,2015,11
27600,110033,2015,11
7824,110143,2015,11
10276,110050,2015,11
39924,110015,2015,11
5697,110145,2015,11
37512,110018,2015,11
2424,110146,2015,11
502748,110020,2015,11
22557,110025,2015,11
3501,110147,2015,11
3750,110026,2015,11
56242,110028,2015,11
8532,110029,2015,11
6103,110148,2015,11
19002,110149,2015,11
23933,110032,2015,11
12581,110150,2015,11
5003,110155,2015,11
11347,110160,2015,11
13293,110170,2015,11
10843,110175,2015,11
8231,110180,2015,11
91801,110030,2015,11
25506,110001,2016,11
105896,110002,2016,11
6289,110003,2016,11
87877,110004,2016,11
17959,110005,2016,11
18639,110006,2016,11
8749,110007,2016,11
17031,110008,2016,11
32712,110009,2016,11
47048,110010,2016,11
55806,110011,2016,11
131560,110012,2016,11
37899,110013,2016,11
21670,110014,2016,11
39840,110015,2016,11
37786,110018,2016,11
511219,110020,2016,11
22337,110025,2016,11
3790,110026,2016,11
56664,110028,2016,11
8362,110029,2016,11
93745,110030,2016,11
24059,110032,2016,11
28255,110033,2016,11
16902,110034,2016,11
13993,110037,2016,11
20569,110040,2016,11
38450,110045,2016,11
10161,110050,2016,11
6414,110060,2016,11
14354,110070,2016,11
24719,110080,2016,11
3583,110090,2016,11
10364,110092,2016,11
21720,110094,2016,11
9933,110100,2016,11
10155,110110,2016,11
10786,110120,2016,11
12308,110130,2016,11
16032,110140,2016,11
7796,110143,2016,11
5802,110145,2016,11
2417,110146,2016,11
3456,110147,2016,11
6048,110148,2016,11
19353,110149,2016,11
12617,110150,2016,11
4966,110155,2016,11
11348,110160,2016,11
13198,110170,2016,11
10999,110175,2016,11
8138,110180,2016,11
25437,110001,2017,11
107345,110002,2017,11
6224,110003,2017,11
88507,110004,2017,11
17934,110005,2017,11
18467,110006,2017,11
8659,110007,2017,11
17400,110008,2017,11
33030,110009,2017,11
47451,110010,2017,11
55871,110011,2017,11
132667,110012,2017,11
38609,110013,2017,11
21747,110014,2017,11
39759,110015,2017,11
38051,110018,2017,11
519436,110020,2017,11
22124,110025,2017,11
3829,110026,2017,11
57074,110028,2017,11
8198,110029,2017,11
95630,110030,2017,11
24181,110032,2017,11
28891,110033,2017,11
16747,110034,2017,11
14045,110037,2017,11
20916,110040,2017,11
39044,110045,2017,11
10051,110050,2017,11
6460,110060,2017,11
14484,110070,2017,11
25266,110080,2017,11
3550,110090,2017,11
10593,110092,2017,11
22443,110094,2017,11
9745,110100,2017,11
10310,110110,2017,11
10751,110120,2017,11
12258,110130,2017,11
16186,110140,2017,11
7769,110143,2017,11
5904,110145,2017,11
2410,110146,2017,11
3411,110147,2017,11
5994,110148,2017,11
19694,110149,2017,11
12653,110150,2017,11
4931,110155,2017,11
11350,110160,2017,11
13106,110170,2017,11
11149,110175,2017,11
8047,110180,2017,11
23167,110001,2018,11
106168,110002,2018,11
5438,110003,2018,11
84813,110004,2018,11
16444,110005,2018,11
16227,110006,2018,11
7567,110007,2018,11
17855,110008,2018,11
32047,110009,2018,11
45783,110010,2018,11
51933,110011,2018,11
127907,110012,2018,11
39097,110013,2018,11
20459,110014,2018,11
36340,110015,2018,11
36434,110018,2018,11
519531,110020,2018,11
19409,110025,2018,11
3723,110026,2018,11
54702,110028,2018,11
6781,110029,2018,11
97448,110030,2018,11
22931,110032,2018,11
29757,110033,2018,11
14722,110034,2018,11
13227,110037,2018,11
20999,110040,2018,11
38937,110045,2018,11
8751,110050,2018,11
6190,110060,2018,11
14009,110070,2018,11
25983,110080,2018,11
3119,110090,2018,11
10886,110092,2018,11
24226,110094,2018,11
8095,110100,2018,11
10272,110110,2018,11
9762,110120,2018,11
11080,110130,2018,11
15695,110140,2018,11
7047,110143,2018,11
5947,110145,2018,11
2191,110146,2018,11
2939,110147,2018,11
5280,110148,2018,11
19842,110149,2018,11
11860,110150,2018,11
4384,110155,2018,11
10494,110160,2018,11
11665,110170,2018,11
11028,110175,2018,11
6998,110180,2018,11
23857,110001,2007,11
82388,110002,2007,11
6575,110003,2007,11
76155,110004,2007,11
16290,110005,2007,11
17644,110006,2007,11
9476,110007,2007,11
13664,110008,2007,11
27867,110009,2007,11
39451,110010,2007,11
52453,110011,2007,11
107679,110012,2007,11
31475,110013,2007,11
17170,110014,2007,11
36040,110015,2007,11
32893,110018,2007,11
369345,110020,2007,11
22197,110025,2007,11
3174,110026,2007,11
48894,110028,2007,11
9264,110029,2007,11
66746,110030,2007,11
22622,110032,2007,11
21162,110033,2007,11
16485,110034,2007,11
11615,110037,2007,11
16758,110040,2007,11
33072,110045,2007,11
9648,110050,2007,11
5553,110060,2007,11
12455,110070,2007,11
16736,110080,2007,11
3624,110090,2007,11
7456,110092,2007,11
13857,110094,2007,11
11432,110100,2007,11
7905,110110,2007,11
10343,110120,2007,11
12086,110130,2007,11
12357,110140,2007,11
7750,110143,2007,11
4583,110145,2007,11
2358,110146,2007,11
3704,110147,2007,11
6286,110148,2007,11
15710,110149,2007,11
11757,110150,2007,11
4919,110155,2007,11
9952,110160,2007,11
13381,110170,2007,11
8751,110175,2007,11
8742,110180,2007,11
24577,110001,2008,11
84581,110002,2008,11
6777,110003,2008,11
