"time","Porto Velho","Ariquemes","Cacoal","Vilhena"
"May 1, 2012",0.01651601603299,0.016172324647735,0.015513486338719,0.014581351731671
"Jun 1, 2012",0.015772273327466,0.01517561216413,0.014463725892982,0.013705685808404
"Jul 1, 2012",0.012592964934554,0.011917192964765,0.011167229586648,0.010892946460246
"Aug 1, 2012",0.010675045156524,0.009433507045401,0.008591313051741,0.008576677606459
"Sep 1, 2012",0.012915963333286,0.012403425414245,0.01160000349755,0.011654500875414
"Oct 1, 2012",0.016161216630953,0.016218060947362,0.015986256119025,0.015853212442417
"Nov 1, 2012",0.017545357562782,0.017466278015506,0.01733020224417,0.01728844190019
"Dec 1, 2012",0.017855838266271,0.017727919007994,0.017367906731238,0.016854746955598
"Jan 1, 2013",0.018480248001632,0.01842912623035,0.018033536174674,0.017451271809488
"Feb 1, 2013",0.018174286035237,0.018006474858474,0.017574892382483,0.017205572680613
"Mar 1, 2013",0.018692520508053,0.018574364525203,0.018418339741522,0.017704798427988
"Apr 1, 2013",0.017890584212142,0.017574400808787,0.017431025643857,0.016550642566204
"May 1, 2013",0.017642075680356,0.017390128595378,0.016710694128959,0.015682240907665
"Jun 1, 2013",0.016336909236392,0.015914748767021,0.015313452706697,0.014562296064648
"Jul 1, 2013",0.013200589744022,0.012489160967095,0.011828035524842,0.011365431628739
"Aug 1, 2013",0.011409796740682,0.010311614527975,0.009102179615145,0.009090881816579
"Sep 1, 2013",0.014286138447642,0.014076891914186,0.013267654455348,0.013133260916991
"Oct 1, 2013",0.016783383126026,0.016747747450007,0.016855729862398,0.016423536487126
"Nov 1, 2013",0.018030068380063,0.017845518296683,0.017885603643644,0.017135933874398
"Dec 1, 2013",0.018405628749249,0.018190184316625,0.017716703320325,0.017098206602826
"Jan 1, 2014",0.018067061378742,0.018111794747237,0.017477224111691,0.016641763142243
"Feb 1, 2014",0.018023397368777,0.017788380165566,0.017798694632565,0.016940705887275
"Mar 1, 2014",0.018204176534689,0.01813290333997,0.01788832318886,0.017393958394189
"Apr 1, 2014",0.018164816120964,0.018022744332386,0.0177273422852,0.017077698838946
"May 1, 2014",0.017544717396864,0.017182827490932,0.016867201949822,0.015889342205312
"Jun 1, 2014",0.015274379120657,0.014522365755665,0.013860861894599,0.013175992221349
"Jul 1, 2014",0.013648429036247,0.012836623116033,0.012170317249351,0.011711882264871
"Aug 1, 2014",0.01214384899499,0.011200808926731,0.010155268014872,0.010077347068781
"Sep 1, 2014",0.014834859928984,0.014470965297784,0.013549368243272,0.01349901993651
"Oct 1, 2014",0.016443051377761,0.016288197487685,0.015245941393023,0.014799931340266
"Nov 1, 2014",0.018034956551778,0.017768374650105,0.017813848280993,0.017123329592787
"Dec 1, 2014",0.018277859489609,0.017900079046588,0.017854602401073,0.017127498678083
"Jan 1, 2015",0.017935836519541,0.017781030832019,0.017498349172766,0.01695328359146
"Feb 1, 2015",0.018118280107722,0.017682386135634,0.017256387608983,0.016740718889877
"Mar 1, 2015",0.018109866294989,0.017883455695273,0.017760690686699,0.017247019741838
"Apr 1, 2015",0.018126687447848,0.018131144875273,0.017888391666343,0.017415733690867
"May 1, 2015",0.017883072417911,0.01757557799765,0.016983815358943,0.016473503474214
"Jun 1, 2015",0.015436240386165,0.014785668205408,0.013968408930666,0.013308900059132
"Jul 1, 2015",0.013825179921191,0.01312689485668,0.01244607760298,0.012091527959757
"Aug 1, 2015",0.011763358226794,0.01067531651978,0.010021917826763,0.009850398252514
"Sep 1, 2015",0.013842448071009,0.0132024023126,0.012167651834369,0.011845919363978
"Oct 1, 2015",0.014966283908507,0.01459892717048,0.013686198007986,0.013410204084299
"Nov 1, 2015",0.016757389735336,0.016667388176889,0.016159989002385,0.016071201875993
"Dec 1, 2015",0.017611872211568,0.01724716922886,0.01660597963298,0.016248401870741
"Jan 1, 2016",0.018919222453745,0.018786234678627,0.018330418585409,0.017890188669929
"Feb 1, 2016",0.01885873860747,0.018748147416046,0.01821566185116,0.017752763678101
"Mar 1, 2016",0.019008227272491,0.018919464407589,0.018374964433706,0.017850674035271
"Apr 1, 2016",0.017937143279368,0.017745059034625,0.016891617188865,0.016216960430226
"May 1, 2016",0.017038433924534,0.016764899609896,0.015999703058982,0.015367945532398
"Jun 1, 2016",0.014310936022365,0.014001011872447,0.013461202888337,0.012717326165917
"Jul 1, 2016",0.011739386170626,0.010973788786377,0.010226640604358,0.009665253801533
"Aug 1, 2016",0.011892958829328,0.011126742320175,0.010371143004236,0.010305950714218
"Sep 1, 2016",0.014041499199935,0.013656712694903,0.01288205164804,0.012633862020262
"Oct 1, 2016",0.015511125378617,0.015287653250954,0.014348467714958,0.014143329096826
"Nov 1, 2016",0.01662707257607,0.016613973599894,0.016510301970946,0.016241115869513
"Dec 1, 2016",0.017579629782642,0.017380584904629,0.017204153952753,0.017017616422187
"Jan 1, 2017",0.017857579315304,0.017642299879786,0.01708829087592,0.016750230674986
"Feb 1, 2017",0.018052485479662,0.017836728985786,0.017402970264661,0.016988492130821
"Mar 1, 2017",0.018215533861786,0.018130362014427,0.01786098569694,0.017299715187771
"Apr 1, 2017",0.017876660583544,0.017737170504922,0.01741122906678,0.016910627060262
"May 1, 2017",0.017815628295841,0.017537473873223,0.016733201885589,0.0162380235529
"Jun 1, 2017",0.013964228733798,0.01342932773759,0.012798262557695,0.012202268274411
"Jul 1, 2017",0.010650310454024,0.010022842276355,0.009638827571615,0.00893508107567
"Aug 1, 2017",0.012614941972499,0.011887168107594,0.011271096151487,0.010709650293367
"Sep 1, 2017",0.013013914019543,0.012102434710284,0.010824957587995,0.010366065842276
"Oct 1, 2017",0.014650762297924,0.01474090568912,0.01479810970549,0.014431355144114
"Nov 1, 2017",0.016117943172064,0.015990208446753,0.016748157897335,0.016590841651205
"Dec 1, 2017",0.01720601084764,0.017104529803179,0.017545670234931,0.016953055557077
